 ,Time,Time,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1235237,201501,1801-2400,SFO.Airport,CA,,,0,,VMC,,,Night,,,Ground SFO,Air Carrier,B737 Next Generation Undifferentiated,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 175,,Situational Awareness; Distraction; Confusion; Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,1235237,,,,,,,,,,,Deviation - Procedural Published Material / Policy; Ground Event / Encounter Person / Animal / Bird,,,Person Flight Crew,Taxi,General None Reported / Taken,Environment - Non Weather Related; Human Factors; Procedure; Airport,Procedure,"Upon taxiing from Spot 3; enroute to the Gate; I was surprised to see someone with marshalling wands in the middle of the poorly lit ramp. He was between 300 feet and 400 feet out from the gate. It looked like he was in position to clear my wingtip from a baggage tug that appeared to have stalled in the middle of the ramp. Later; I asked a Ramp Supervisor if it was an inoperative tug way out on the ramp. He told me it was a new airport policy to require a Wing Walker out there. Even on this clear night; it was hard to notice him or understand why he was there. I could easily have missed him if he hadn't parked his vehicle (the tug) behind him. On a cloudy; rainy night I can imagine a scenario where the Pilots would be searching for the lead in line; or concentrating on another aircraft in their area and completely miss the Marshaler.During pushback; he was in the same position and I noticed he was guarding a service road that crosses the ramp. I felt it was unsafe for anyone to be standing so far out on the ramp in an area where we would never expect to see a Wing Walker/Marshaler. There is nothing about this policy in the SFO 10-7 pages. Personnel/Wing Walkers are expected near the ends of the safety zone; but not way out on the ramp. Company should present safety concern regarding this to airport and consider alternatives for the gates in this area. If unable to change policy; add 10-7 page warning.",,,,"A Captain taxiing to his SFO gate expressed concern about the safety of gate Marshalers who were positioned an extended distance from the gate where they may not be seen.",
1235251,201501,0601-1200,DEN.Airport,CO,,,2000,,,,,,,,TRACON D01,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,,,Final Approach,Visual Approach,Class B DEN,,,,,,,,,,,Traffic Collision Avoidance System (TCAS),,X,Design; Improperly Operated,TRACON D01,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,Final Approach,Visual Approach,Class B DEN,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,,Flight Crew Last 90 Days 117; Flight Crew Total 2811; Flight Crew Type 2811,,Distraction,,1235251,,,,,,,,,,,Conflict Airborne Conflict; Deviation - Procedural Published Material / Policy,,N,Automation Aircraft RA; Person Flight Crew,In-flight,General None Reported / Taken,Human Factors; Airport,Ambiguous,"While on a first officer flown visual approach to 16 left at DEN; there was another aircraft on approach to 16 right at the same time. Somewhere around 2500 AGL we got an Resolution Advisory (RA) to climb due to conflict. We had the other aircraft in sight and decided that climbing would make the situation more unsafe because it was slightly behind and higher than us. We elected to continue the approach because climbing was more unsafe than staying on the glidepath and breaking out to the left would send us across the approach corridor for the other runways. We got the RA 3 times total while flying down final. Each time it said to climb and each time the other aircraft was slightly behind and higher than ours. The aircraft was then landed on 16 left uneventfully.",,,,"A B737 First Officer; pilot flying; for a visual approach to Runway 16L at DEN; experienced repeated TCAS RA's with respect to another aircraft flying a visual approach to 16R slight above and behind them.",
1235287,201501,1201-1800,ZZZ.Airport,US,,,0,,VMC,,,Daylight,,,Tower ZZZ,Air Carrier,EMB ERJ 170/175 ER/LR,,2,Part 121,IFR,Passenger,,Final Approach; Landing,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Training / Qualification; Workload,,1235287,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,1235290,Deviation - Procedural Published Material / Policy; Deviation - Speed All Types; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,General None Reported / Taken,Procedure; Human Factors,Human Factors,"During a visual approach to Runway 26; I performed a hand flown approach. The visual was backed up with the ILS approach for guidance while on the arrival. We were vectored off of the arrival for traffic avoidance and then vectored toward the field for a visual approach. We were about seven miles away from the field on a base leg a 5;000 FT AGL. When we were cleared for the visual approach to Runway 26. I thought we were a little high and close and in retrospect should have widened the approach out a little and configured more slowly and flown the approach profile closer to a 3.0 degree approach than was possible from our current position. I maintained altitude while disengaging the autopilot and auto-throttles and configured the plane for landing in an effort to increase drag and manage our descent more effectively for a landing. The approach maintained a steady rate of descent and configuration; but could not be considered a stabilized approach per the FOM. The approach was performed with the thrust levers at flight idle in order to reach the field in the touch down zone. While in the flare to land over the runway; normal configuration; I was attempting to effect a soft touch down; as well as landing in the touch down zone and in the process of the flare the stick shaker was activated as we touched the runway. The first officer called out a low speed warning as we touched down and the shaker was activated. Other than the slow speed and stick shaker event the touch down was uneventful. We exited the runway and taxied to the gate as normal. Fly the approach on profile per the SOP. I tried to compensate for the poor vectors to final when I should have asked to widen out the approach.",,"After fully configuring the aircraft for landing; we descended to the runway above the glideslope. As we approached the runway; I noticed that the airspeed was about 10 knots below Vapp and called out the deviation. By this time; we were already in the flare and the stick-shaker was momentarily activated as we touched down. Other than the momentary stick-shaker event; the approach was uneventful.In hindsight; I should have suggested getting vectored off of the approach or called for a go-around because of the un-stabilized condition of the approach.",,"An ERJ-175 Captain flew an un-stabilized visual approach following an ATC vector which left them high on final with idle thrust and a stick shaker in the landing flare.",
1235299,201501,1201-1800,ZZZ.Airport,US,,,0,,,,,Daylight,,,,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,,,Parked,,,,,,,,,,,,,PMC; Performance/Thrust Management Computer,,X,Design,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface; Workload; Time Pressure,,1235299,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Procedural Published Material / Policy; Deviation - Procedural Weight And Balance; Deviation - Speed All Types; Flight Deck / Cabin / Aircraft Event Other / Unknown,,Y,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,Human Factors; Aircraft; Procedure,Ambiguous,"At the gate the ACARS was going in and out of connection. In an effort to get the flight off the gate close to scheduled departure time; I decided to start filling out the ACARS back-up form. Once the bridge was moved off of the aircraft; the ACARS reconnected and the First Officer quickly grabbed the paperwork (CLR and passenger load information) and entered it in an effort to receive takeoff data before the ACARS could possibly lose connection again.We received our data; programmed it and closed the door for departure. We verified the takeoff data was set; accomplished all normal checklists and were cleared for takeoff. I called; 'V1; Rotate' as indicated by the speed bugs and the FO pulled back on the yoke. When the wheels left the ground; I felt what seemed like the tail sinking down. The FO slowed his rotation and the aircraft began to climb. During climb; I observed the low-speed warning tape on the bottom of the airspeed indicator. Normally; it is not visible. I believe the FO noticed this also and adjusted pitch to allow the aircraft to fly at a higher speed. After 10000 FT; we talked about it and he described how he had noticed the green line on the airspeed tape. I talked about the low-speed tape. The FO described how he allowed the aircraft to climb at a higher speed because of his realization of the speed issue. As we investigated the speeds and realized they were set at the correct speeds from the ACARS; we noticed that the passenger loadout was incorrect. The correct loading was: 12 in zone 1; 31 in zone 2 and 31 in zone 3. What was entered into the ACARS was 12 in zone 1; 11 in zone 2 and 11 in zone 3 - FORTY passengers less than were actually aboard. We calculated that the aircraft was almost 8000 lbs heavier than the v-speeds that were set.We manually calculated a correct weight for landing and entered this into the landing-data request to provide accurate landing speeds.The desire to get the flight going. The in-and-out nature of the ACARS communication. The rushed data-entering error that the FO made in the ACARS. The unknowingly set incorrect v-speeds.Cross-check of the entered data. The correct action was taken (in-flight) once a problem was realized; but the error occurred at the gate and more attention to the details of data-entry would have eliminated this situation.",,,,"Delayed in receipt of their performance numbers due to recalcitrant ACARS operation the flight crew of a CRJ-900 were able to quickly programmed load data immediately after pushback. During the subsequent takeoff climb response and acceleration were noticeably degraded and the aircraft was retrimmed to climb at a higher speed. Subsequent review of the transmitted passenger load compared to those actually on board showed 40 more passengers than utilized in the V speed computations. The flight crew utilized the 'actual' data for the subsequent approach and landing.",
1235309,201501,,ZZZZ.Airport,FO,,,0,,,,,,,,,Fractional,Medium Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,,Ferry,,Parked,,,,,,,,,,,,,Gear Extend/Retract Mechanism,,X,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Fractional,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Ground Personnel,1235309,,,,,,,,,,,Deviation - Procedural FAR; Deviation - Procedural Published Material / Policy,,Y,Person Flight Crew,Aircraft In Service At Gate,General Release Refused / Aircraft Not Accepted,Company Policy; Aircraft; MEL; Procedure; Manuals,Company Policy,"The purpose of this report is to alert Company Pilots of the blatant disregard of [the manual] by our fractional Managers. In addition; as a crew; we were asked continually to move the plane illegally as were about 6-10 other crew members.On the day in question myself and another pilot were airlined downed to [the airport] to bring an aircraft back [to the U.S. mainland] with the gear down. The airplane had been written up by another crew for failure of the gear to retract during takeoff. Mechanics were sent down there to do ONLY a pre-ferry inspection. No repairs for the problem. They attempted to get Management to send jacks down or acquire jacks on location; but they were told to just do the basic inspection and not to swing the gear or other normal inspections for this anomaly.[The manual] from the beginning of the maintenance issue on this plane was violated and disregarded. [The manual] is only in effect when the airplane must be moved with the gear down for maintenance purposes only. In addition; our Company does include a self issued ferry permit. Unlike a situation where an MEL has expired and the Ferry Permit can override some things and allow you to fly it to a maintenance base; [the manual] is not the same. It has very specific guidelines that are not waiveable and must be followed. The Following items were violated in [the manual]:1. At company direction; the 2 mechanics that were sent down there; were added to the Ferry permit. Ferry Permits and [the manual] BOTH clearly state that NO passengers are allowed. Only Essential Crew are allowed on board. 2. A wet footprint was on this flight although our company never operates a flight where a wet footprint occurs. In [the manual]; it clearly states that glide distance with gear down is 15nm/10000ft of altitude. Due to freezing levels forecasted to be at and above 16k; the best glide distance we could have had was 20nm. There were multiple areas on that flight where we were beyond 20nm from land. 3. [The manual] states that a takeoff from an aerodrome where the likelihood of ditching may occur; takeoff is prohibited. Obviously; [this airport] is an island in the middle of the ocean. The initial conversation on the phone with our Chief Pilot that I had was not good. When I questioned how we were supposed to comply with [the manual]; he said they had determined that if we had an issue; we could bring up the gear. I stated that that would be impossible because there was not any maintenance done on the plane and the original write-up was that the gear would not retract. He stated he would have to get back to me. He then called me back about 30 minutes later stating [he had been advised] that we could takeoff because we were on a Special Ferry Permit. I asked to speak to the Duty Officer directly. He said he would have him call. About another 30 minutes went by and instead of a phone call I received an email from the Duty Officer. The email basically said that this email was my express approval to operate under Special Ferry Permit overwater with the gear down. I emailed him back and said that I would like to talk to him. I called him when he sent me his number. I tried explaining why this flight could not and should not happen. I was told that I should get in the plane and do the job I was being paid to do. I then respectfully declined to do the trip. At that point after my conversation was done; my copilot was called to see if they made him the PIC would he fly the plane back He respectfully declined. In addition; another crew was asked to fly the aircraft as well. They declined also. All told; there were about 6-10 pilots/crews called to take the trip. One crew finally accepted and flew it back to [the mainland] a few days later. In conclusion; these extended over water operations need to cease unless [the manual] in its entirety can be complied with. These long over water flights are dangerous and more complex than what they appear. Ourdispatch can't even plan a trip with any certainty of fuel burn etc. [the manual] states at best; fuel burn will be 75% more burn beyond what a flight would burn at .75 mach. Should a crew be assigned this type of flight and not fully realize what they are getting into it could be disastrous for the Company and that crew. As stated in the report; [the manual] must be complied with for future Gear down ferries where flying over water is concerned. Putting an aircraft on a Ferry Permit and or Special Ferry Permit does not override this section.",,,,"Several flight crews refused to conduct a gear down; overwater ferry as doing so would violate provisions for conduct of such flight. The operation was ultimately shopped to a crew who agreed to do so despite the refusal of others.",
1235311,201501,0001-0600,SEA.Airport,WA,,,,,,,,Daylight,,,Tower SEA,Air Carrier,B737 Next Generation Undifferentiated,,2,Part 121,IFR,Passenger,FMS Or FMC; Localizer/Glideslope/ILS Runway 16L,Initial Approach,,Class B SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Confusion; Distraction; Situational Awareness,Party1 Flight Crew; Party2 ATC,1235311,,,,,,,,,,,Conflict NMAC; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Altitude Overshoot,Horizontal 0; Vertical 400,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action; Flight Crew Returned To Clearance,Aircraft; Airspace Structure; Procedure,Airspace Structure,"TCAS Climb Alert complied with during approach to 16L at SEA. Conflict was VFR traffic at BFI. I called SEATAC tower after landing and he said this has happened several times in the past. He said there is a small area of overlap in the airspace used by KSEA and KBFI traffic.",,,,"An air carrier on approach to SEA had a near miss with an aircraft in the BFI pattern while both aircraft were transiting a small area of airport airspace overlap.",
1235317,201501,1201-1800,ZZZ.Airport,US,,,0,,,,,,,,,Air Carrier,Caravan Undifferentiated,,1,,,,,Parked,,,,,,,,,,,,,De-Icing Fluid,,X,Design; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Distraction; Physiological - Other,,1235317,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Illness,,N,Person Flight Crew,Aircraft In Service At Gate,,Human Factors; Aircraft; Company Policy,Aircraft,"TKS Caravan. TKS system had been run prior during the morning. Aircraft continued to drip all day while parked. While closing up aircraft for departure pilot compressed tail stand and removed it. Upon removing tail stand; it rapidly expanded as normal; however it was full of TKS fluid (Hazmat); from dripping all day; and sprayed substantial amount of TKS fluid in pilot's face. Aircraft drips hazmat constantly on people; from above after being operated.",,,,"The latest of a number of similar reports declaring the inability to utilize TKS de-icing systems without flight crew exposure to the hazards of the fluid. In this case the amount of material dripping after use collected in the tail stand which; upon compression to remove it; then decompressed spraying the face of the pilot conducting his preflight.",
1235321,201501,1201-1800,DFW.Airport,TX,,,,12000,VMC,,,Daylight,,,Center ZFW,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,FMS Or FMC,Descent,STAR SEEVR 1,Class E ZFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Workload; Confusion,Party1 Flight Crew; Party2 ATC; Party2 Flight Crew,1235321,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Workload; Confusion,Party1 Flight Crew; Party2 ATC; Party2 Flight Crew,1235545,ATC Issue All Types; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy; Deviation - Track / Heading All Types,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented; Flight Crew Requested ATC Assistance / Clarification,Procedure,Procedure,"We were filed and cleared to fly to DFW on the BRDJE 1 RNAV ARRIVAL. At the time DFW was landing south. Before leaving a ROUTE-LEGS check was accomplished including all the airspeeds and altitudes on the BRDJE 1 ARRIVAL. Descending into DFW and after departing SEEVR; the Controller called and asked us to verify that we were on the SEEVR arrival and I looked down at the PDC and told the First Officer to respond that our clearance was on the BRDJE arrival. The Controller then issued instructions to descend to 12;000 feet as quickly as possible and started giving vectors in order to get us down and in sequence to land on Runway 17C. After talking through this with the First Officer; we realized another controller had told us previously when we were in the descent; that after SEEVR; to fly the SEEVR 1. We looked down at the NAV display and saw that we were heading to SEEVR and wondered why the controller would say that. I wondered if the controller wanted us to descend via the arrival. So the First Officer queried the controller and asked if he wanted us to descend via and he said no; just fly the SEEVR ARRIVAL. Seeing the SEEVR fix on the display; it did not register to either me or the FO that the controller was; in fact; changing the arrival.I realize that we did not get the message that the controller was changing the arrival from the BRDJE 1 to the SEEVR 1. Because the route-legs check had been accomplished back before we left we did not notice that it was a Landing North arrival when DFW was landing south. But having said that; this problem started all the way back before we even left the gate.First: We were filed on the BRDJE1 when DFW was landing south. We have seen on so many flights where the dispatcher has filed us on one arrival landing one direction when we know the airport is landing the other direction. Enroute; we hear other flights talking to FT Worth Center trying to change the arrival enroute and they're told to wait until they get to DFW. Second: We did everything we could to ensure the filed routing was correct in the FMS; including doing an airspeed and altitude check on every fix of the arrival into DFW. Most of the time I tell the First Officer that we will check all of those points sometime prior to the actual arrival about 45 minutes to an hour away. That would have more likely allowed us to catch this error. Third: The SEEVR 1 and the BRDJE 1 both have the SEEVR and BRDJE fixes which from a human factors perspective is just asking for trouble. I think this is an issue that needs to be changed. Fourth: If the controller had said; 'This is a change from the BRDJE 1 to the SEEVR 1' we would have more clearly realized what the controller was trying to say. Finally: If we would have taken a closer look at what the controller said to us approaching SEEVR we may have caught this error. But we did already realize that what the controller had said was slightly odd and we queried if he wanted us to descend via and he said no. We are constantly striving to be extremely vigilant on these new arrivals. Both the First Officer and I expressed a desire to not be someone who made an error and despite our best efforts; we just did not catch this. The controller was great and very quick to remedy the situation and get us back where we needed to be.",,"Both the Captain and I are very careful and conscientious people. We had spoken earlier about some human factors classes at the schoolhouse and how some things ATC says should be RED FLAGS for your present situation. When ATC assigned me an arrival I was 'already on' I thought he meant altitude. That was my RED FLAG that ATC was assigning us a change. I missed it. DARN IT!If ATC would say the words 'Change to your arrival routing' I would have caught on or better yet PLEASE stop using the same intersection names on these arrivals. That has thrown me off several times when trying to pull up an arrival in my iPad that has a fix named the same as another arrival. Co-Locate two intersections with different names if you need to; but having too many boys named 'Jim' in gym class is not going to be a gem of an experience. I just made that up; but I hope you get the point.",,"An air carrier crew cleared to SEEVR intersection was confused about their DFW STAR because their arrival changed from the BRDJE 1 RNAV to the SEEVR 1 while enroute and SEEVR is a shared waypoint.",
1235343,201501,0001-0600,ZZZ.Airport,US,,,0,,Marginal,Icing,,,,,Ramp ZZZ,Air Carrier,MD-11,,2,Part 121,IFR,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,,,,Physiological - Other,,1235343,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),,,Physiological - Other,,1235353,Deviation - Procedural Maintenance; Deviation - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,Pre-flight,Flight Crew Took Evasive Action; General Evacuated; General Physical Injury / Incapacitation,Human Factors; Procedure; Weather,Procedure,"On pre-flight we experienced smoke and fumes in the airplane. We evacuated the airplane along with telling the ground crew to get off the plane.  It was determined it was caused by de-ice fluid. We were removed from the trip and went to a hospital to be checked out. De-ice fluid being sprayed into the #2 engine while the APU was running and providing air.",,"During preflight with APU running and packs on; aircraft rapidly filled with smoke accompanied by fire horn and cargo smoke alert. Emergency evacuation performed with load crew. Captain and First Officer suffered smoke inhalation and treated at the Hospital.Unknown to crew; Maintenance sprayed Type 1 deciding fluid into number 2 engine.",,"A MD-11 crew suffered smoke inhalation during preflight and required medical treatment after exposure to Type 1 deice fluid vapor which was sprayed into the number two engine while the APU was running.",
1235346,201501,0001-0600,IND.Airport,IN,,,,3550,IMC,Icing; Turbulence; 3,,Night,1500,,TRACON IND,Air Carrier,Widebody; Low Wing; 2 Turbojet Eng,,4,Part 121,IFR,Cargo / Freight,,Initial Approach,,Class C IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Confusion; Time Pressure,Party1 Flight Crew; Party2 Flight Crew; Party2 ATC,1235346,Aircraft X,Flight Deck,Air Carrier,Relief Pilot,Flight Crew Air Transport Pilot (ATP),,,Confusion; Communication Breakdown,Party1 Flight Crew; Party2 ATC,1235559,ATC Issue All Types; Deviation - Altitude Overshoot; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy; Deviation - Track / Heading All Types,,,Person Flight Crew,In-flight,Flight Crew Became Reoriented; Flight Crew Executed Go Around / Missed Approach; Flight Crew Requested ATC Assistance / Clarification,Procedure; Weather,Procedure,"We were cleared for the ILS23L; 3;000 FT until established and 180k to XEROX. At XEROX; still on approach; the controller issued the clearance 'XXX maintain 3000 FT and fly heading 140.' I initially didn't hear our call sign and thought it sounded like a clearance for another aircraft in the terminal area. After determining that the clearance was in fact for us a go around was initiated with the autopilot at first on and then disconnected; the turn to H140 was slow and altitude of 3;000 FT over shot by 550 FT.The clearance caused some level of confusion and delay since 'go around or discontinue approach' phraseology was not used by the controller. From that point better high altitude/approach and go around procedures and crew coordination were required in this situation. Better pilot/controller communication. Expecting the unexpected; with more thought given to go around procedures at a point other than minimums.",,"While on the ILS approach to Runway 23L at IND; the aircraft was descending through roughly 2600 FT on the Localizer and glide-slope (captured and tracking) autopilot was on. The PF and PM were discussing items relative to the approach when the Controller announced 'maintain 3000 FT fly heading 160.' No one seam to hear it; except me; an RFO. While we were already below 3000 FT; it would be impossible to maintain something we had already passed through on the Glide-slope. Regardless; I asked PM; the First Officer to verify with ATC that those were indeed our instructions and that they were intended for us. PM at that point confirmed with ATC that those were our instructions. Never did I hear the terms cancel approach clearance or go around; perhaps those words were 'blocked'. Upon execution of the 'go around' we exceeded our clearance altitude.Improper; or non-standard phraseology during assignment of Go around/missed approach. Standard phraseology; probably would be a good idea to have controllers and pilots talk face to face from time to time; perhaps recurrent training or the like.",,"IND TRACON issued a go around to an air carrier at 3;000 FT on approach to IND Runway 23L but the flight crew missed the command because of a nonstandard phraseology.",
1235355,201501,1201-1800,ZZZ.Airport,US,,,,,VMC,,,Night,,,Tower ZZZ,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,FMS Or FMC; Localizer/Glideslope/ILS Runway 26L,Initial Approach,Visual Approach,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain; Check Pilot,Flight Crew Air Transport Pilot (ATP),,,Training / Qualification; Distraction; Confusion; Communication Breakdown; Human-Machine Interface,Party1 Flight Crew; Party2 ATC; Party2 Flight Crew,1235355,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface; Communication Breakdown; Confusion; Distraction,Party1 Flight Crew; Party2 Flight Crew; Party2 ATC,1235356,ATC Issue All Types; Deviation - Track / Heading All Types,,,Person Flight Crew; Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented,Human Factors; Airport,Human Factors,"When we checked in with the initial approach controller we let them know we had ATIS information. It was indicating they were using VOR/DME 8R. We briefed this approach and set up for it. This was also the approach we had been planned by dispatch.When we checked in with the next controller we were given ILS 26L. We had plenty of time to set it up and brief it. We also briefed that it would be visual since we already had the airport insight. The FO was the flying pilot and the captain was conducting new hire IOE. We were cleared for the ILS 26L approach by the controller and then asked shortly after when we had picked up the airport. We estimated it was at least 8000 ft.At approx 6000 ft the FO clicked off the autopilot and was hand flying the aircraft on the visual approach. He called for flaps on speed and I was stetting the flaps and approach speeds; as well as the gear down before landing check. We were handed off to tower and cleared to land 26L. Approx 1000 ft I noticed that the FO didn't have his ILS freq in the active and I reached over to put it in for him. My attention was temporarily deviated as he was a little high and I was coaching him on speed and altitude. At 500 ft he called 500 to go. As I was about to call stabilized cleared to land 26L I realized he had drifted off 26L centerline. I immediately told him 26L and he said correcting. Before we had a chance to adjust course the tower controller told us cleared to land 26R. At no time was the Aircraft in an undesirable state; or did we break and FAR's we landed with no issues and taxied clear of the runway. As we were taxing to the ramp we were told by ground control to contact them by phone for a possible pilot deviation. When we talked with them we let them know at no time had we intended to land on 26R until we were cleared to land by the tower controller.",,"The pilot flying (a new hire IOE pilot) was correcting course and glide slope with a primary instrument scan and secondary visual scan to keep the aircraft on landing profile. At approximately 1;000 AFE the pilot monitoring (IOE check airman) recognized that the pilot flying did not have the correct navigation frequency and then corrected VHF NAV 2.As aircraft was passing 600 ft AFE; the pilot flying called '500 to go;' and the pilot monitoring called; 'stabilized; cleared to land...wait' and the tower controller simultaneously called; 'cleared to land runway 26 right.' The pilot monitoring acknowledged the radio call and the pilot flying transferred his scan to visual; lined up with runway 26R and landed on 26R stabilized and without incident.On the final approach to landing the pilot monitoring realized that the pilot flying was drifting slightly further right of course and before he could give guidance the tower controller cleared the aircraft to land on 26R and the pilot flying lined up with center line with normal control inputs and landed smoothly and on centerline safely and without incident.At no time was a FAR or SOP violated.",,"A CRJ-200 air crew conducting IOE briefed and initially flew an approach to runway 26L. The trainee pilot became distracted by the lights from 26R and lined up for that runway. ATC recleared the Crew to land on runway 26R.",
